CellLine,CellLineId,ChannelNumber405,ChannelNumber638,ChannelNumberBrightfield,ChannelNumberStruct,Gene,Objective,PixelScaleX,PixelScaleY,PixelScaleZ,PlateId,Protein,ProteinDisplayName,SourceFilename,Structure,StructureDisplayName,StructureId,StructureShortName,WellName,CellLineId/Name,ProteinId/Name,StructureId/Name,treatment_group,time_point (hr),concentration (uM),drug_label
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-1-P7-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-1-P7-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-1-P7-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-1-P7-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-1-P7-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-2-P8-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
AICS-12,16,6,2,7,4,TUBA1B,100,0.108333,0.108333,0.29,3500001171,Alpha-tubulin,Alpha-tubulin,3500001171_100X_20170811_1-Scene-4-P10-D05.czi,Microtubules,Microtubules,4,Microtubules,,AICS-12,Alpha-tubulin,Microtubules,Vehicle,2,5,Paclitaxol
