,molecule_chembl_id,canonical_smiles,standard_value,target,mol_wt,mol_logp,num_H_don,num_H_acpt
0,CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,34.0,active,448.5410000000002,2.0601999999999996,2.0,7.0
1,CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,9.0,active,434.51400000000024,2.0176999999999987,2.0,7.0
2,CHEMBL78934,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,20.0,active,515.4590000000003,4.486200000000003,2.0,6.0
3,CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,3.0,active,480.5860000000003,3.579500000000002,2.0,6.0
4,CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1,9.0,active,393.4650000000001,1.8110999999999997,2.0,6.0
5,CHEMBL80453,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,44.0,active,448.5410000000003,2.2779999999999987,2.0,7.0
6,CHEMBL312432,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,6.0,active,529.0580000000003,4.541320000000003,2.0,6.0
7,CHEMBL306617,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,5.0,active,476.5950000000003,3.058200000000001,2.0,7.0
8,CHEMBL79111,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,43.0,active,384.4980000000002,1.9990999999999999,2.0,6.0
9,CHEMBL78798,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,2.0,active,573.7560000000004,4.044100000000003,2.0,8.0
10,CHEMBL80969,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,10.0,active,404.48800000000017,2.0090999999999988,2.0,6.0
11,CHEMBL78909,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1,1.0,active,531.0300000000003,4.454800000000003,2.0,7.0
12,CHEMBL76137,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1,13.0,active,480.58600000000024,3.6761000000000017,2.0,6.0
13,CHEMBL310340,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1,9.2,active,357.42800000000017,1.6937999999999998,2.0,6.0
14,CHEMBL440498,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,3.0,active,425.8900000000002,3.2082000000000015,2.0,6.0
15,CHEMBL76836,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,3.0,active,531.6750000000005,2.873800000000001,2.0,8.0
16,CHEMBL312429,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,5.0,active,454.54800000000023,3.162300000000001,2.0,6.0
17,CHEMBL78549,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,1.0,active,438.9330000000002,3.265900000000002,2.0,6.0
18,CHEMBL78508,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,4.0,active,460.59600000000023,3.4254000000000016,2.0,6.0
19,CHEMBL80732,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1,2.0,active,410.8790000000002,2.5336000000000007,3.0,6.0
20,CHEMBL309311,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,3.0,active,476.5950000000003,3.1880000000000015,2.0,7.0
21,CHEMBL79433,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,1.0,active,501.0040000000003,4.446200000000004,2.0,6.0
22,CHEMBL78299,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,9.0,active,476.5950000000003,2.8404000000000007,2.0,7.0
23,CHEMBL310684,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC=C(C)C)CC2)cc1,39.0,active,382.4820000000002,1.7750999999999988,2.0,6.0
24,CHEMBL77505,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)(C)C)CC2)cc1,649.0,active,370.4710000000002,1.6073999999999988,2.0,6.0
25,CHEMBL80321,CCC(CC)Oc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,14.0,active,460.59600000000023,3.5679000000000016,2.0,6.0
26,CHEMBL80183,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4cccs4)cc3)CC2)cc1,11.0,active,486.61500000000024,3.7376000000000023,2.0,7.0
27,CHEMBL312770,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCc3ccccc3)CC2)cc1,13.0,active,432.54200000000026,2.441699999999999,2.0,6.0
28,CHEMBL78337,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,2.0,active,424.9060000000002,2.8758000000000017,2.0,6.0
29,CHEMBL81763,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C3CCCCCCC3)CC2)cc1,138.0,active,424.5630000000004,2.9218,2.0,6.0
30,CHEMBL311436,O=C(NO)C1(S(=O)(=O)c2ccc(-c3ccco3)cc2)CCN(Cc2ccccc2)CC1,3.0,active,440.5210000000003,3.260500000000002,2.0,6.0
31,CHEMBL80401,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,19.0,active,464.55900000000025,3.318500000000002,2.0,6.0
32,CHEMBL419648,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,10.0,active,370.4710000000002,1.609,2.0,6.0
33,CHEMBL311357,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,1.0,active,466.9870000000002,4.046100000000003,2.0,6.0
34,CHEMBL310057,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCc3ccccc3)CC2)cc1,45.0,active,418.5150000000002,2.051599999999999,2.0,6.0
35,CHEMBL420023,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCC)CC2)cc1,28.0,active,412.5520000000003,2.779300000000001,2.0,6.0
36,CHEMBL312585,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,484.0,active,328.3900000000001,0.43869999999999965,2.0,6.0
37,CHEMBL309416,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,16.0,active,422.4780000000002,2.148199999999999,2.0,6.0
38,CHEMBL80798,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccn4)cc3)CC2)cc1,6.0,active,481.57400000000024,3.0711000000000013,2.0,7.0
39,CHEMBL78611,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,5.0,active,490.62200000000036,3.4483000000000024,2.0,7.0
40,CHEMBL76847,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,26.0,active,434.51400000000024,1.8878999999999988,2.0,7.0
41,CHEMBL310342,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OC)cc2)CC1,364.0,active,342.41700000000014,0.8288000000000002,2.0,6.0
42,CHEMBL76856,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,12.0,active,434.51400000000024,2.0176999999999996,2.0,7.0
