activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32092,[],CHEMBL751169,Antimuscarinic activity against muscarinic acetylcholine M2-receptor in guinea pig atria,B,,,BAO_0000587,BAO_0000357,single protein format,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,,,CHEMBL1131854,Bioorg. Med. Chem. Lett.,1999.0,,CHEMBL53366,IMIDAFENACIN,CHEMBL53366,,False,http://www.openphacts.org/units/Nanomolar,190478,=,1,True,=,,Kb,nM,,4.13,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,Kb,nM,UO_0000065,,4.13
,32095,[],CHEMBL751169,Antimuscarinic activity against muscarinic acetylcholine M2-receptor in guinea pig atria,B,,,BAO_0000587,BAO_0000357,single protein format,Cc1cccc(C[n+]2ccn(CCC(C(N)=O)(c3ccccc3)c3ccccc3)c2C)c1.[Br-],,,CHEMBL1131854,Bioorg. Med. Chem. Lett.,1999.0,,CHEMBL103906,,CHEMBL1179904,,False,http://www.openphacts.org/units/Nanomolar,190494,=,1,True,=,,Kb,nM,,11.6,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,Kb,nM,UO_0000065,,11.6
,32139,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,C/C(C#Cc1ccccc1)=C/CO/N=C1/CN2CCC1C2,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL345415,,CHEMBL345415,,False,http://www.openphacts.org/units/Nanomolar,309730,=,1,False,=,,ED50,nM,,4.2,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,4.2
,32140,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,C/C(C#Cc1ccccc1)=C/CO/N=C1/CN2CCC1C2,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL345415,,CHEMBL345415,,False,http://qudt.org/vocab/unit#Percent,309730,=,1,False,=,,CCh,%,,130.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,130.0
,33319,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1cccc(C#C/C(C)=C\CO/N=C2/CN3CCC2C3)c1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160554,,CHEMBL160554,,False,http://www.openphacts.org/units/Nanomolar,309700,=,1,False,=,,ED50,nM,,28.2,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,28.2
,33320,[],CHEMBL752366,Agonistic efficacy in human m2 muscarinic receptor which was expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH),F,,,BAO_0000179,BAO_0000219,cell-based format,COc1cccc(C#C/C(C)=C\CO/N=C2/CN3CCC2C3)c1,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160554,,CHEMBL160554,,False,http://qudt.org/vocab/unit#Percent,309700,=,1,False,=,,CCh,%,,80.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,80.0
,33326,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,C/C(C#Cc1ccc(F)cc1)=C/CO/N=C1/CN2CCC1C2,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160939,,CHEMBL160939,,False,http://www.openphacts.org/units/Nanomolar,309710,=,1,False,=,,ED50,nM,,270.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,270.0
,33327,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,C/C(C#Cc1ccc(F)cc1)=C/CO/N=C1/CN2CCC1C2,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160939,,CHEMBL160939,,False,http://qudt.org/vocab/unit#Percent,309710,=,1,False,=,,CCh,%,,150.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,150.0
,36981,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1cccc(C#C/C(C)=C/CO/N=C2\CN3CCC2C3)c1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL434469,,CHEMBL434469,,False,http://www.openphacts.org/units/Nanomolar,309701,=,1,False,=,,ED50,nM,,42.3,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,42.3
,36982,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,COc1cccc(C#C/C(C)=C/CO/N=C2\CN3CCC2C3)c1,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL434469,,CHEMBL434469,,False,http://qudt.org/vocab/unit#Percent,309701,=,1,False,=,,CCh,%,,170.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,170.0
,36988,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,COc1ccc(C#C/C(C)=C\CO/N=C2\CN3CCC2C3)cc1OC,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160928,,CHEMBL160928,,False,http://qudt.org/vocab/unit#Percent,309708,=,1,False,=,,CCh,%,,80.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,80.0
,36994,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,C/C(C#Cc1cccs1)=C\CO/N=C1\CN2CCC1C2,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160858,,CHEMBL160858,,False,http://www.openphacts.org/units/Nanomolar,309727,=,1,False,=,,ED50,nM,,24.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,24.0
,36995,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,C/C(C#Cc1cccs1)=C\CO/N=C1\CN2CCC1C2,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL160858,,CHEMBL160858,,False,http://qudt.org/vocab/unit#Percent,309727,=,1,False,=,,CCh,%,,150.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,150.0
,38290,[],CHEMBL752966,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells.,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1ccc(C#C/C(C)=C\CO/N=C2/CN3CCC2C3)cc1OC,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL159208,,CHEMBL159208,,False,http://www.openphacts.org/units/Nanomolar,309729,=,1,False,=,,ED50,nM,,0.9,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,ED50,nM,UO_0000065,,0.9
,38291,[],CHEMBL752964,Agonistic efficacy in human m2 muscarinic receptor expressed with the marker gene beta-galactosidase in NIH 3T3 cells. Maximal effect normalized to the effect of carbachol (%CCH).,F,,,BAO_0000179,BAO_0000219,cell-based format,COc1ccc(C#C/C(C)=C\CO/N=C2/CN3CCC2C3)cc1OC,,,CHEMBL1128636,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL159208,,CHEMBL159208,,False,http://qudt.org/vocab/unit#Percent,309729,=,1,False,=,,CCh,%,,100.0,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,9606,,,CCh,%,UO_0000187,,100.0
