activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32194,[],CHEMBL712452,Binding affinity was evaluated against matrix metalloprotease-9,B,,,BAO_0000192,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@@](C)(O)C(=O)NO)C(C)(C)C,,,CHEMBL1130781,Bioorg. Med. Chem. Lett.,1998.0,,CHEMBL169084,,CHEMBL169084,,False,http://www.openphacts.org/units/Nanomolar,332241,<,1,True,<,,Ki,nM,,1.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,Ki,nM,UO_0000065,,1.0
,32201,[],CHEMBL712454,In vitro inhibition of Matrix metalloprotease-9,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1,,,CHEMBL1136542,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL302455,,CHEMBL302455,,False,http://www.openphacts.org/units/Nanomolar,108978,>,1,True,>,,Ki,nM,,2000.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,Ki,nM,UO_0000065,,2000.0
,32206,[],CHEMBL712454,In vitro inhibition of Matrix metalloprotease-9,B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O,,,CHEMBL1136542,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL60373,,CHEMBL60373,,False,http://www.openphacts.org/units/Nanomolar,108974,>,1,True,>,,Ki,nM,,2000.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,Ki,nM,UO_0000065,,2000.0
,32258,[],CHEMBL713580,Inhibition of matrix metalloprotease-9 (MMP-9),B,,,BAO_0000192,BAO_0000357,single protein format,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1,,,CHEMBL1136470,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL342713,,CHEMBL342713,,False,http://www.openphacts.org/units/Nanomolar,261096,>,1,True,>,,Ki,nM,,2128.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,Ki,nM,UO_0000065,,2128.0
,33373,[],CHEMBL712452,Binding affinity was evaluated against matrix metalloprotease-9,B,,,BAO_0000192,BAO_0000357,single protein format,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](Cc1ccccc1)[C@@](C)(O)C(=O)NO,,,CHEMBL1130781,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '18.72', 'le': '0.35', 'lle': '7.72', 'sei': '6.06'}",CHEMBL435271,,CHEMBL435271,8.30,False,http://www.openphacts.org/units/Nanomolar,332244,=,1,True,=,,Ki,nM,,5.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,Ki,nM,UO_0000065,,5.0
,33892,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,,,CHEMBL1145787,J. Med. Chem.,2003.0,"{'bei': '16.65', 'le': '0.33', 'lle': '5.41', 'sei': '7.10'}",CHEMBL80814,,CHEMBL80814,7.47,False,http://www.openphacts.org/units/Nanomolar,140729,=,1,True,=,,IC50,nM,,34.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,34.0
,35115,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,,,CHEMBL1145787,J. Med. Chem.,2003.0,"{'bei': '18.52', 'le': '0.37', 'lle': '6.03', 'sei': '7.65'}",CHEMBL276119,,CHEMBL276119,8.05,False,http://www.openphacts.org/units/Nanomolar,140707,=,1,True,=,,IC50,nM,,9.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,9.0
,35120,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,,,CHEMBL1145787,J. Med. Chem.,2003.0,"{'bei': '14.94', 'le': '0.32', 'lle': '3.21', 'sei': '8.02'}",CHEMBL78934,,CHEMBL78934,7.70,False,http://www.openphacts.org/units/Nanomolar,140739,=,1,True,=,,IC50,nM,,20.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,20.0
,35125,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,,,CHEMBL1145787,J. Med. Chem.,2003.0,"{'bei': '17.73', 'le': '0.34', 'lle': '4.94', 'sei': '8.88'}",CHEMBL78369,,CHEMBL78369,8.52,False,http://www.openphacts.org/units/Nanomolar,140738,=,1,True,=,,IC50,nM,,3.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,3.0
,35129,[],CHEMBL715225,In vitro inhibitory activity against matrix metalloprotease-9.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,,,CHEMBL1145787,J. Med. Chem.,2003.0,"{'bei': '20.45', 'le': '0.41', 'lle': '6.24', 'sei': '7.39'}",CHEMBL514138,CGS-27023A,CHEMBL267178,8.05,True,http://www.openphacts.org/units/Nanomolar,140734,=,1,True,=,,IC50,nM,,9.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase 9,9606,,,IC50,nM,UO_0000065,,9.0
